;30-2324;;PARAF ANGULO VARIAVEL LOCKING 2.3X24MM;30-2324;SCREW USE VARIABLE LOCK ANGLE 2.3X24MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S ;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;30-2324;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378020988;PARAF ANGULO VARIAVEL LOCKING 2.3X24MM;PARAFUSO  ANGULO VARIAVEL LOCKING 2.3X24MM;SCREW USE VARIABLE LOCKING ANGLE 2.3X24MM;N;41;00;
;30-2326;;PARAF ANGULO VARIAVEL LOCKING 2.3X26MM;30-2326;SCREW USE VARIABLE LOCK ANGLE 2.3X26MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;30-2326;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378021008;PARAF ANGULO VARIAVEL LOCKING 2.3X26MM;PARAFUSO  ANGULO VARIAVEL LOCKING 2.3X26MM;SCREW USE VARIABLE LOCKING ANGLE 2.3X26MM;N;41;00;
;CO-T2330;;PARAF USO CORTICAL LOCKING 2.3 X 30 MM;CO-T2330;SCREW USE CORTICAL LOCK 2.3 MM X 30 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2330;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062544;PARAF USO CORTICAL LOCKING 2.3 X 30 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 30 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 30 MM;N;41;00;
;CO-T2332;;PARAF USO CORTICAL LOCKING 2.3 X 32 MM;CO-T2332;SCREW USE CORTICAL LOCK 2.3 MM X 32 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2332;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062568;PARAF USO CORTICAL LOCKING 2.3 X 32 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 32 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 32 MM;N;41;00;
;CO-T2334;;PARAF USO CORTICAL LOCKING 2.3 X 34 MM;CO-T2334;SCREW USE CORTICAL LOCK 2.3 MM X 34 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2334;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062582;PARAF USO CORTICAL LOCKING 2.3 X 34 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 34 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 34 MM;N;41;00;
;CO-T2336;;PARAF USO CORTICAL LOCKING 2.3 X 36 MM;CO-T2336;CORTICAL LOCK USE SCREW 2.3 MM X 36 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2336;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062605;PARAF USO CORTICAL LOCKING 2.3 X 36 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 36 MM;CORTICAL LOCKING USE SCREW 2.3 MM X 36 MM;N;41;00;
;CO-T2338;;PARAF USO CORTICAL LOCKING 2.3 X 38 MM;CO-T2338;SCREW USE CORTICAL LOCK 2.3 MM X 38 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2338;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062629;PARAF USO CORTICAL LOCKING 2.3 X 38 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 38 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 38 MM;N;41;00;
;CO-T2340;;PARAF USO CORTICAL LOCKING 2.3 X 40 MM;CO-T2340;SCREW USE CORTICAL LOCK 2.3 MM X 40 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2340;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062643;PARAF USO CORTICAL LOCKING 2.3 X 40 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 40 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 40 MM;N;41;00;
;CO-T2342;;PARAF USO CORTICAL LOCKING 2.3 X 42 MM;CO-T2342;SCREW USE CORTICAL LOCK 2.3 MM X 42 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2342;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062667;PARAF USO CORTICAL LOCKING 2.3 X 42 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 42 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 42 MM;N;41;00;
;CO-T2344;;PARAF USO CORTICAL LOCKING 2.3 X 44 MM;CO-T2344;SCREW USE CORTICAL LOCK 2.3 MM X 44 MM;S;C;PA;UN;90211020;;;;90;0140;081;0.00;0.00;0.00;;2;;;200;200;402;670;743;519;;;;;M;;;;;;;;;1;0.01;;;000040;01;;;;;112020001           ;;;;;;;D;N;1;40;;;L;;;;;;;N;;1;;;S;ACUMED;;999;;;;S;;;S;;;;;;M;N;;;2;;;;;;N;;;;0.00;0.00;;;;0.00;0.00;1;0.00;0.00;0.00;1;1;2;;0.00;0;;;;;;;;;;;;;;;;;S;;;;;;;1;;;;0.00;0;;;4645102;2;;2;;;;2;2;2;;;;;N;80094170014;20260828;200;80094170014;P;;N;1;CONFORME INSTRUCAO DE USO;CO-T2344;N;N;;;;0.00;0.00;;;;;;;;;;;;;S;N;;;;;;N;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;S;;2;;;;;;;;;;;;;;;;;8;;2;;;;;;;;;P;;;;;;;;;;;;;2;;;;;;;;;N;;999;;;;;;;;000040;1;S;10806378062681;PARAF USO CORTICAL LOCKING 2.3 X 44 MM;PARAFUSO USO CORTICAL LOCKING 2.3 MM X 44 MM;SCREW USE CORTICAL LOCKING 2.3 MM X 44 MM;N;41;00;
